DataStructure,Dimensions,KNeighbors,NumPoints,Time(millis),Distribution
K,4,1,200,0.121485,U
B,4,1,200,0.138687,U
K,4,1,200,0.069165,G
B,4,1,200,0.133740,G
K,4,1,200,0.073299,U
B,4,1,200,0.106910,U
K,4,1,200,0.062326,G
B,4,1,200,0.129951,G
K,4,1,200,0.081275,U
B,4,1,200,0.111413,U
K,4,1,200,0.065466,G
B,4,1,200,0.128982,G
K,4,11,200,0.201522,U
B,4,11,200,0.111627,U
K,4,11,200,0.209474,G
B,4,11,200,0.117674,G
K,4,11,200,0.198379,U
B,4,11,200,0.115951,U
K,4,11,200,0.217871,G
B,4,11,200,0.126603,G
K,4,11,200,0.202778,U
B,4,11,200,0.116840,U
K,4,11,200,0.218426,G
B,4,11,200,0.121005,G
K,4,21,200,0.223066,U
B,4,21,200,0.100130,U
K,4,21,200,0.262886,G
B,4,21,200,0.116082,G
K,4,21,200,0.222667,U
B,4,21,200,0.096333,U
K,4,21,200,0.260838,G
B,4,21,200,0.114292,G
K,4,21,200,0.227784,U
B,4,21,200,0.094268,U
K,4,21,200,0.260759,G
B,4,21,200,0.118022,G
K,4,31,200,0.339607,U
B,4,31,200,0.129522,U
K,4,31,200,0.323787,G
B,4,31,200,0.161605,G
K,4,31,200,0.285015,U
B,4,31,200,0.106563,U
K,4,31,200,0.293103,G
B,4,31,200,0.122892,G
K,4,31,200,0.277491,U
B,4,31,200,0.111921,U
K,4,31,200,0.299179,G
B,4,31,200,0.125167,G
K,4,41,200,0.308358,U
B,4,41,200,0.104476,U
K,4,41,200,0.318854,G
B,4,41,200,0.113202,G
K,4,41,200,0.312833,U
B,4,41,200,0.103202,U
K,4,41,200,0.318599,G
B,4,41,200,0.111015,G
K,4,41,200,0.306673,U
B,4,41,200,0.105580,U
K,4,41,200,0.316206,G
B,4,41,200,0.112078,G
K,4,51,200,0.351801,U
B,4,51,200,0.107992,U
K,4,51,200,0.328231,G
B,4,51,200,0.101745,G
K,4,51,200,0.353825,U
B,4,51,200,0.115952,U
K,4,51,200,0.332823,G
B,4,51,200,0.107558,G
K,4,51,200,0.354333,U
B,4,51,200,0.108526,U
K,4,51,200,0.329882,G
B,4,51,200,0.103962,G
K,4,61,200,0.369000,U
B,4,61,200,0.120729,U
K,4,61,200,0.341363,G
B,4,61,200,0.115293,G
K,4,61,200,0.357849,U
B,4,61,200,0.117236,U
K,4,61,200,0.333738,G
B,4,61,200,0.111383,G
K,4,61,200,0.353303,U
B,4,61,200,0.112695,U
K,4,61,200,0.334983,G
B,4,61,200,0.109635,G
K,4,71,200,0.354439,U
B,4,71,200,0.118342,U
K,4,71,200,0.331560,G
B,4,71,200,0.107525,G
K,4,71,200,0.355096,U
B,4,71,200,0.118535,U
K,4,71,200,0.335427,G
B,4,71,200,0.106959,G
K,4,71,200,0.352739,U
B,4,71,200,0.117807,U
K,4,71,200,0.334237,G
B,4,71,200,0.108297,G
K,4,81,200,0.381665,U
B,4,81,200,0.114653,U
K,4,81,200,0.336875,G
B,4,81,200,0.108696,G
K,4,81,200,0.381460,U
B,4,81,200,0.116063,U
K,4,81,200,0.340782,G
B,4,81,200,0.109065,G
K,4,81,200,0.378450,U
B,4,81,200,0.115004,U
K,4,81,200,0.339786,G
B,4,81,200,0.108511,G
K,4,91,200,0.362963,U
B,4,91,200,0.119549,U
K,4,91,200,0.328600,G
B,4,91,200,0.098331,G
K,4,91,200,0.366036,U
B,4,91,200,0.122105,U
K,4,91,200,0.327646,G
B,4,91,200,0.105013,G
K,4,91,200,0.368345,U
B,4,91,200,0.122156,U
K,4,91,200,0.329123,G
B,4,91,200,0.102903,G
K,4,101,200,0.344213,U
B,4,101,200,0.112633,U
K,4,101,200,0.327967,G
B,4,101,200,0.104306,G
K,4,101,200,0.343927,U
B,4,101,200,0.108589,U
K,4,101,200,0.328770,G
B,4,101,200,0.105541,G
K,4,101,200,0.348028,U
