DataStructure,Dimensions,KNeighbors,NumPoints,Time(millis),Distribution
K,2,1,200,0.026583,U
B,2,1,200,0.064223,U
K,2,1,200,0.011263,G
B,2,1,200,0.039217,G
Q,2,1,200,0.022133,U
Q,2,1,200,0.019529,G
K,2,1,200,0.007379,U
B,2,1,200,0.035948,U
K,2,1,200,0.011115,G
B,2,1,200,0.038928,G
Q,2,1,200,0.012077,U
Q,2,1,200,0.017955,G
K,2,1,200,0.006671,U
B,2,1,200,0.037131,U
K,2,1,200,0.010879,G
B,2,1,200,0.034779,G
Q,2,1,200,0.011762,U
Q,2,1,200,0.016636,G
K,2,11,200,0.031616,U
B,2,11,200,0.047556,U
K,2,11,200,0.059529,G
B,2,11,200,0.059165,G
Q,2,11,200,0.096749,U
Q,2,11,200,0.135631,G
K,2,11,200,0.045665,U
B,2,11,200,0.075525,U
K,2,11,200,0.089356,G
B,2,11,200,0.087643,G
Q,2,11,200,0.140154,U
Q,2,11,200,0.185346,G
K,2,11,200,0.046198,U
B,2,11,200,0.075100,U
K,2,11,200,0.087309,G
B,2,11,200,0.092125,G
Q,2,11,200,0.145642,U
Q,2,11,200,0.187419,G
K,2,21,200,0.056420,U
B,2,21,200,0.067436,U
K,2,21,200,0.087655,G
B,2,21,200,0.067926,G
Q,2,21,200,0.154915,U
Q,2,21,200,0.220648,G
K,2,21,200,0.052553,U
B,2,21,200,0.057286,U
K,2,21,200,0.080177,G
B,2,21,200,0.056319,G
Q,2,21,200,0.131364,U
Q,2,21,200,0.193292,G
K,2,21,200,0.041719,U
B,2,21,200,0.049877,U
K,2,21,200,0.065680,G
B,2,21,200,0.055867,G
Q,2,21,200,0.127169,U
Q,2,21,200,0.172230,G
K,2,31,200,0.047468,U
B,2,31,200,0.053811,U
K,2,31,200,0.083853,G
B,2,31,200,0.062708,G
Q,2,31,200,0.151681,U
Q,2,31,200,0.202485,G
K,2,31,200,0.051430,U
B,2,31,200,0.059466,U
K,2,31,200,0.093280,G
B,2,31,200,0.064510,G
Q,2,31,200,0.155662,U
Q,2,31,200,0.217220,G
K,2,31,200,0.045115,U
B,2,31,200,0.051589,U
K,2,31,200,0.078611,G
B,2,31,200,0.056348,G
Q,2,31,200,0.134112,U
Q,2,31,200,0.187295,G
K,2,41,200,0.046130,U
B,2,41,200,0.052628,U
K,2,41,200,0.095280,G
B,2,41,200,0.052821,G
Q,2,41,200,0.151409,U
Q,2,41,200,0.216933,G
K,2,41,200,0.045246,U
B,2,41,200,0.051051,U
K,2,41,200,0.097891,G
B,2,41,200,0.056041,G
Q,2,41,200,0.157053,U
Q,2,41,200,0.215459,G
K,2,41,200,0.053671,U
B,2,41,200,0.061811,U
K,2,41,200,0.107316,G
B,2,41,200,0.059196,G
Q,2,41,200,0.157048,U
Q,2,41,200,0.241399,G
K,2,51,200,0.057747,U
B,2,51,200,0.058917,U
K,2,51,200,0.120749,G
B,2,51,200,0.053796,G
Q,2,51,200,0.187611,U
Q,2,51,200,0.256581,G
K,2,51,200,0.061763,U
B,2,51,200,0.063527,U
K,2,51,200,0.123438,G
B,2,51,200,0.057208,G
Q,2,51,200,0.198987,U
Q,2,51,200,0.268894,G
K,2,51,200,0.053109,U
B,2,51,200,0.053397,U
K,2,51,200,0.108398,G
B,2,51,200,0.049112,G
Q,2,51,200,0.176465,U
Q,2,51,200,0.240068,G
K,2,61,200,0.082160,U
B,2,61,200,0.068384,U
K,2,61,200,0.147832,G
B,2,61,200,0.046840,G
Q,2,61,200,0.202877,U
Q,2,61,200,0.234687,G
K,2,61,200,0.081334,U
B,2,61,200,0.052408,U
K,2,61,200,0.139906,G
B,2,61,200,0.045158,G
Q,2,61,200,0.202086,U
Q,2,61,200,0.231336,G
K,2,61,200,0.095274,U
B,2,61,200,0.061102,U
K,2,61,200,0.166953,G
B,2,61,200,0.058076,G
Q,2,61,200,0.236847,U
Q,2,61,200,0.256677,G
K,2,71,200,0.150684,U
B,2,71,200,0.061495,U
K,2,71,200,0.212441,G
B,2,71,200,0.052671,G
Q,2,71,200,0.273416,U
Q,2,71,200,0.286764,G
K,2,71,200,0.127627,U
B,2,71,200,0.053021,U
K,2,71,200,0.186194,G
B,2,71,200,0.044838,G
Q,2,71,200,0.233944,U
Q,2,71,200,0.249314,G
K,2,71,200,0.124539,U
B,2,71,200,0.050521,U
K,2,71,200,0.180591,G
B,2,71,200,0.045624,G
Q,2,71,200,0.229728,U
Q,2,71,200,0.249727,G
K,2,81,200,0.140088,U
B,2,81,200,0.092942,U
K,2,81,200,0.193218,G
B,2,81,200,0.103636,G
Q,2,81,200,0.225898,U
Q,2,81,200,0.245466,G
K,2,81,200,0.139929,U
B,2,81,200,0.091683,U
K,2,81,200,0.192730,G
B,2,81,200,0.100558,G
Q,2,81,200,0.225988,U
Q,2,81,200,0.245713,G
K,2,81,200,0.138814,U
B,2,81,200,0.093810,U
K,2,81,200,0.190311,G
B,2,81,200,0.099964,G
Q,2,81,200,0.225455,U
Q,2,81,200,0.252034,G
K,2,91,200,0.143686,U
B,2,91,200,0.093243,U
K,2,91,200,0.197973,G
B,2,91,200,0.099519,G
Q,2,91,200,0.220739,U
Q,2,91,200,0.239675,G
K,2,91,200,0.144000,U
B,2,91,200,0.093058,U
K,2,91,200,0.199211,G
B,2,91,200,0.099607,G
Q,2,91,200,0.219673,U
Q,2,91,200,0.239869,G
K,2,91,200,0.142634,U
B,2,91,200,0.095247,U
K,2,91,200,0.204536,G
B,2,91,200,0.098820,G
Q,2,91,200,0.222411,U
Q,2,91,200,0.239702,G
K,2,101,200,0.155090,U
B,2,101,200,0.094062,U
K,2,101,200,0.201201,G
B,2,101,200,0.091820,G
Q,2,101,200,0.214398,U
Q,2,101,200,0.228443,G
K,2,101,200,0.153958,U
B,2,101,200,0.094608,U
K,2,101,200,0.200890,G
B,2,101,200,0.088491,G
Q,2,101,200,0.216558,U
Q,2,101,200,0.226104,G
K,2,101,200,0.154812,U
B,2,101,200,0.095828,U
K,2,101,200,0.198841,G
B,2,101,200,0.089524,G
Q,2,101,200,0.217247,U
Q,2,101,200,0.224595,G
K,2,111,200,0.155908,U
B,2,111,200,0.093259,U
K,2,111,200,0.185511,G
B,2,111,200,0.095687,G
Q,2,111,200,0.205769,U
Q,2,111,200,0.209981,G
K,2,111,200,0.154808,U
B,2,111,200,0.091560,U
K,2,111,200,0.185700,G
B,2,111,200,0.091273,G
Q,2,111,200,0.206159,U
Q,2,111,200,0.212944,G
K,2,111,200,0.154095,U
B,2,111,200,0.090348,U
K,2,111,200,0.188143,G
B,2,111,200,0.094871,G
Q,2,111,200,0.203510,U
Q,2,111,200,0.210704,G
K,2,121,200,0.153910,U
B,2,121,200,0.088565,U
K,2,121,200,0.185621,G
B,2,121,200,0.094895,G
