DataStructure,Dimensions,KNeighbors,NumPoints,Time(millis),Distribution
K,3,1,200,0.039197,U
B,3,1,200,0.070020,U
K,3,1,200,0.035835,G
B,3,1,200,0.057608,G
K,3,1,200,0.012117,U
B,3,1,200,0.047972,U
K,3,1,200,0.036536,G
B,3,1,200,0.058140,G
K,3,1,200,0.011260,U
B,3,1,200,0.047343,U
K,3,1,200,0.031189,G
B,3,1,200,0.056486,G
K,3,11,200,0.050949,U
B,3,11,200,0.054272,U
K,3,11,200,0.179382,G
B,3,11,200,0.066749,G
K,3,11,200,0.054811,U
B,3,11,200,0.061757,U
K,3,11,200,0.193033,G
B,3,11,200,0.076639,G
K,3,11,200,0.046751,U
B,3,11,200,0.049580,U
K,3,11,200,0.175560,G
B,3,11,200,0.068279,G
K,3,21,200,0.053685,U
B,3,21,200,0.047235,U
K,3,21,200,0.246341,G
B,3,21,200,0.065924,G
K,3,21,200,0.055662,U
B,3,21,200,0.049020,U
K,3,21,200,0.240231,G
B,3,21,200,0.062049,G
K,3,21,200,0.054442,U
B,3,21,200,0.059249,U
K,3,21,200,0.258502,G
B,3,21,200,0.071683,G
K,3,31,200,0.078150,U
B,3,31,200,0.056275,U
K,3,31,200,0.321248,G
B,3,31,200,0.080972,G
K,3,31,200,0.084809,U
B,3,31,200,0.063460,U
K,3,31,200,0.358378,G
B,3,31,200,0.081466,G
K,3,31,200,0.095229,U
B,3,31,200,0.066780,U
K,3,31,200,0.397803,G
B,3,31,200,0.095816,G
K,3,41,200,0.108184,U
B,3,41,200,0.173945,U
K,3,41,200,0.377091,G
B,3,41,200,0.067574,G
K,3,41,200,0.095899,U
B,3,41,200,0.165828,U
K,3,41,200,0.394846,G
B,3,41,200,0.061799,G
K,3,41,200,0.098084,U
B,3,41,200,0.147397,U
K,3,41,200,0.360393,G
B,3,41,200,0.062553,G
K,3,51,200,0.166268,U
B,3,51,200,0.184342,U
K,3,51,200,0.471117,G
B,3,51,200,0.080051,G
K,3,51,200,0.137604,U
B,3,51,200,0.144776,U
K,3,51,200,0.358297,G
B,3,51,200,0.063413,G
K,3,51,200,0.138068,U
B,3,51,200,0.163478,U
K,3,51,200,0.419455,G
B,3,51,200,0.059989,G
K,3,61,200,0.217694,U
B,3,61,200,0.187749,U
K,3,61,200,0.458913,G
B,3,61,200,0.072080,G
K,3,61,200,0.171101,U
B,3,61,200,0.144582,U
K,3,61,200,0.361125,G
B,3,61,200,0.058017,G
K,3,61,200,0.175477,U
B,3,61,200,0.155730,U
K,3,61,200,0.394740,G
B,3,61,200,0.065997,G
K,3,71,200,0.209852,U
B,3,71,200,0.149673,U
K,3,71,200,0.389446,G
B,3,71,200,0.062763,G
K,3,71,200,0.242423,U
B,3,71,200,0.180902,U
K,3,71,200,0.444034,G
B,3,71,200,0.072108,G
K,3,71,200,0.224208,U
B,3,71,200,0.159406,U
K,3,71,200,0.410059,G
B,3,71,200,0.064892,G
K,3,81,200,0.200595,U
B,3,81,200,0.145578,U
K,3,81,200,0.373775,G
B,3,81,200,0.171638,G
K,3,81,200,0.264569,U
B,3,81,200,0.207710,U
K,3,81,200,0.485699,G
B,3,81,200,0.213613,G
K,3,81,200,0.292560,U
B,3,81,200,0.209535,U
K,3,81,200,0.554971,G
B,3,81,200,0.234557,G
K,3,91,200,0.224841,U
B,3,91,200,0.150700,U
K,3,91,200,0.380963,G
B,3,91,200,0.176367,G
K,3,91,200,0.218289,U
B,3,91,200,0.140397,U
K,3,91,200,0.351257,G
B,3,91,200,0.166203,G
K,3,91,200,0.225610,U
B,3,91,200,0.144949,U
K,3,91,200,0.353094,G
B,3,91,200,0.166510,G
K,3,101,200,0.229005,U
B,3,101,200,0.133336,U
K,3,101,200,0.343354,G
B,3,101,200,0.158314,G
K,3,101,200,0.243878,U
B,3,101,200,0.136940,U
K,3,101,200,0.337486,G
B,3,101,200,0.159750,G
K,3,101,200,0.251297,U
B,3,101,200,0.145096,U
K,3,101,200,0.361349,G
B,3,101,200,0.163959,G
K,3,111,200,0.227568,U
B,3,111,200,0.143132,U
K,3,111,200,0.335010,G
B,3,111,200,0.160458,G
K,3,111,200,0.222651,U
B,3,111,200,0.142891,U
K,3,111,200,0.319696,G
B,3,111,200,0.156531,G
K,3,111,200,0.219112,U
B,3,111,200,0.136821,U
K,3,111,200,0.318481,G
B,3,111,200,0.154211,G
K,3,121,200,0.205055,U
B,3,121,200,0.143478,U
K,3,121,200,0.302735,G
B,3,121,200,0.155037,G
K,3,121,200,0.207618,U
B,3,121,200,0.142969,U
K,3,121,200,0.298016,G
B,3,121,200,0.157630,G
K,3,121,200,0.203546,U
B,3,121,200,0.145430,U
K,3,121,200,0.298543,G
B,3,121,200,0.158305,G
K,3,1,400,0.030967,U
B,3,1,400,0.077237,U
K,3,1,400,0.011411,G
B,3,1,400,0.088469,G
